Name;WMC;DIT;NOCC;CBO;RFC;LCOM;WMC*;NOM;MPC;DAC;SIZE1;SIZE2;DSC;NOH;ANA;DAM;DCC;CAMC;MOA;MFA;NOP;CIS;NOM;Reusability;Flexibility;Understandability;Functionality;Extendibility;Effectiveness;FanIn
teammates.ui.webapi.UpdateStudentProfileAction;5.0;2;0;13.0;47.0;10.0;1.3333333730697632;5.0;56;0;63;5;1.0;0;1.0;-1000;13.0;0.2;0.0;0.8684211;0.0;1.0;5.0;1.05;-0.25;-2.5740000000000003;0.46399999999999997;0.9342105388641357;0.1736842155456543;0
teammates.ui.webapi.SearchInstructorsAction;1.0;2;0;8.0;13.0;0.0;0.5;1.0;11;0;26;1;1.0;0;1.0;-1000;8.0;-1000;0.0;0.9722222;0.0;1.0;1.0;0.75;-0.25;-1.6500000000000001;0.32;0.9861111044883728;0.19444444179534914;0
teammates.ui.webapi.GetFeedbackQuestionsAction;3.0;3;0;14.0;34.0;3.0;4.25;3.0;42;0;86;3;1.0;0;1.0;-1000;14.0;-1000;0.0;0.93333334;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9666666686534882;0.18666666746139526;0
teammates.ui.webapi.GateKeeper;18.0;1;0;59.0;51.0;151.0;2.3333332538604736;18.0;128;2;221;20;1.0;0;0.0;1.0;9.0;0.20987654320987653;2.0;0.0;0.0;1.0;18.0;1.0524691358024691;1.25;-5.870740740740741;0.46518518518518515;0.0;0.6000000000000001;50
teammates.ui.webapi.RestoreCourseAction;3.0;2;0;6.0;11.0;3.0;1.0;3.0;6;0;30;3;1.0;0;1.0;-1000;6.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.SubmitFeedbackResponsesAction;3.0;3;0;22.0;79.0;3.0;4.25;3.0;116;1;183;4;1.0;0;1.0;1.0;22.0;-1000;1.0;0.93333334;0.0;1.0;3.0;0.75;0.75;-1.6500000000000001;0.32;0.9666666686534882;0.7866666674613954;0
teammates.ui.webapi.AdminOnlyAction;2.0;1;29;32.0;4.0;1.0;1.0;2.0;0;0;10;2;1.0;0;1.0;-1000;3.0;-1000;0.0;0.94285715;0.0;0.0;2.0;0.25;-0.25;-1.98;0.1;0.9714285731315613;0.18857142925262452;29
teammates.ui.webapi.GetInstructorPrivilegeAction;3.0;2;0;7.0;12.0;3.0;2.25;3.0;11;0;43;3;1.0;0;1.0;-1000;7.0;-1000;0.0;0.9166667;0.0;1.0;3.0;0.75;-0.25;-2.31;0.32;0.9583333432674408;0.18333333730697632;0
teammates.ui.webapi.PostStudentProfilePictureAction;3.0;2;0;5.0;6.0;3.0;1.75;3.0;0;1;38;5;1.0;0;1.0;1.0;5.0;-1000;1.0;0.9166667;0.0;1.0;3.0;0.75;0.75;-1.6500000000000001;0.32;0.9583333432674408;0.7833333373069764;0
teammates.ui.webapi.InvalidHttpParameterException;0.0;1;0;0.0;0.0;-1.0;-1000;0.0;0;0;0;0;1.0;0;0.0;-1000;0.0;-1000;0.0;0.0;0.0;0.0;0.0;0.25;-0.25;-0.99;0.1;0.0;-0.2;0
